,id,lot_frontage,lot_area,lot_shape,neighborhood,overall_qual,mas_vnr_area,exter_qual,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,total_bsmt_sf,heating_qc,electrical,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,functional,fireplaces,fireplace_qu,garage_finish,garage_area,garage_qual,paved_drive,wood_deck_sf,saleprice,total_porch_area,age_sold
17,770,80.0,8816,0,8,5,0.0,3,PConc,3.0,3.0,1.0,3.0,1121.0,3,4,1121,1.0,1,0,3,1,3,7,0,0.0,1.0,480.0,3.0,2,0,139000,80,46.0
18,2063,71.0,8197,0,8,6,148.0,3,CBlock,3.0,3.0,1.0,1.0,660.0,5,4,1285,0.0,1,1,3,1,3,7,1,3.0,2.0,528.0,3.0,2,138,143500,0,30.0
19,69,72.0,8640,0,21,7,0.0,3,PConc,4.0,3.0,2.0,6.0,756.0,5,4,1547,0.0,2,1,3,1,4,7,0,0.0,1.0,614.0,3.0,2,169,215200,45,1.0
20,2062,109.0,8724,0,8,5,0.0,3,CBlock,4.0,3.0,1.0,4.0,894.0,4,4,894,0.0,1,0,3,1,3,7,1,1.0,3.0,450.0,3.0,2,0,129000,0,39.0
21,351,40.0,5664,1,27,8,0.0,4,PConc,4.0,3.0,1.0,6.0,1501.0,5,4,1659,1.0,2,0,2,1,5,7,1,5.0,3.0,499.0,3.0,2,212,278000,59,9.0
22,2393,103.0,12867,1,26,8,0.0,4,PConc,5.0,3.0,3.0,1.0,1209.0,5,4,2253,0.0,2,1,3,1,5,7,1,4.0,3.0,575.0,3.0,2,243,344133,142,1.0
23,12,66.16945809724605,7980,1,15,6,0.0,3,PConc,4.0,3.0,1.0,5.0,1168.0,5,4,1187,1.0,2,0,3,1,3,7,0,0.0,3.0,420.0,3.0,2,413,185000,21,18.0
24,2339,100.0,19950,0,15,5,0.0,3,CBlock,3.0,3.0,2.0,3.0,1056.0,3,4,1056,1.0,1,0,3,1,3,7,0,0.0,3.0,572.0,3.0,2,264,145000,0,51.0
25,624,92.0,10573,1,11,6,3.0,3,CBlock,3.0,3.0,1.0,3.0,1453.0,5,4,1453,1.0,2,0,3,1,3,7,1,3.0,2.0,530.0,3.0,2,0,187500,337,48.0
26,86,65.0,8450,0,8,5,0.0,3,CBlock,3.0,3.0,1.0,6.0,894.0,5,4,894,1.0,1,0,3,1,3,7,1,4.0,1.0,336.0,3.0,2,413,138500,144,45.0
27,1534,76.76322704802172,11700,1,19,5,0.0,3,CBlock,3.0,3.0,1.0,4.0,942.0,5,4,1938,0.0,2,0,4,1,4,5,1,4.0,1.0,240.0,3.0,2,0,198000,40,71.0
28,2243,75.0,8250,0,1,5,0.0,3,CBlock,3.0,3.0,1.0,1.0,957.0,2,4,1991,0.0,2,0,4,2,3,7,0,0.0,0.0,0.0,0.0,0,0,119600,133,112.0
29,1957,60.0,8064,0,11,5,0.0,3,CBlock,3.0,3.0,2.0,1.0,672.0,5,4,924,0.0,1,0,3,1,3,7,1,1.0,1.0,576.0,3.0,2,0,122900,0,58.0
30,380,80.0,9600,0,16,8,0.0,4,PConc,4.0,3.0,1.0,5.0,2524.0,3,4,2524,1.0,2,1,4,1,4,7,1,4.0,3.0,542.0,3.0,2,413,278000,120,28.0
31,2860,88.49502895012324,11435,1,19,8,0.0,3,PConc,4.0,3.0,1.0,1.0,792.0,2,4,1517,0.0,1,0,3,1,4,7,2,4.0,1.0,400.0,3.0,2,0,230000,0,77.0
32,2517,30.0,9549,1,23,8,0.0,4,PConc,4.0,4.0,3.0,2.0,1494.0,5,4,1494,1.0,1,1,2,1,5,7,1,4.0,3.0,481.0,3.0,2,0,270000,246,11.0
33,1933,60.0,10950,0,11,6,0.0,3,CBlock,3.0,3.0,1.0,5.0,948.0,3,4,948,0.0,1,0,2,1,3,7,0,0.0,1.0,410.0,3.0,0,0,125000,48,55.0
34,820,79.0,10637,0,18,8,309.0,4,PConc,5.0,3.0,4.0,6.0,1705.0,5,4,1718,1.0,2,0,3,1,4,7,1,4.0,2.0,826.0,3.0,2,208,297000,44,2.0
35,675,80.0,9000,1,11,6,82.0,3,CBlock,4.0,3.0,4.0,1.0,160.0,2,4,1142,0.0,1,0,2,1,3,7,1,4.0,2.0,384.0,3.0,2,0,113500,92,51.0
36,2910,41.0,2665,0,0,5,0.0,3,PConc,3.0,3.0,1.0,5.0,757.0,5,4,1475,0.0,2,0,4,1,3,7,1,3.0,2.0,336.0,3.0,2,104,127000,26,29.0
37,21,105.0,11751,1,16,6,309.0,3,CBlock,4.0,3.0,1.0,4.0,1844.0,5,4,1844,0.0,2,0,3,1,3,7,1,3.0,2.0,546.0,3.0,2,0,190000,122,33.0
38,1873,80.0,9600,0,16,7,309.0,3,CBlock,3.0,3.0,1.0,5.0,1242.0,2,4,1242,0.0,1,1,3,1,3,7,1,3.0,1.0,528.0,3.0,2,0,175500,0,34.0
39,2125,60.0,8428,2,18,5,0.0,3,PConc,4.0,4.0,1.0,6.0,990.0,5,4,990,1.0,1,0,3,1,3,7,0,0.0,1.0,384.0,3.0,2,256,146000,0,13.0
40,1489,75.0,9937,0,5,5,0.0,4,CBlock,3.0,3.0,1.0,4.0,1256.0,4,4,1256,1.0,1,1,3,1,3,7,0,0.0,3.0,276.0,3.0,2,413,147500,68,43.0
41,2383,107.0,13891,0,26,10,0.0,5,PConc,5.0,4.0,4.0,6.0,2076.0,5,4,2076,1.0,2,1,2,1,5,7,1,4.0,3.0,850.0,3.0,2,216,465000,229,0.0
42,983,81.8482932697172,9101,1,12,5,104.0,3,PConc,4.0,3.0,3.0,6.0,1097.0,5,4,1110,1.0,1,0,1,1,4,7,1,3.0,3.0,602.0,3.0,2,303,165500,30,31.0
43,1325,81.0,12150,0,3,5,309.0,3,BrkTil,3.0,3.0,1.0,1.0,1050.0,5,2,1795,0.0,2,0,4,1,3,7,0,0.0,1.0,352.0,2.0,2,0,131500,0,54.0
44,1378,70.0,11200,0,8,5,0.0,3,CBlock,3.0,3.0,1.0,3.0,1040.0,5,4,1040,1.0,1,0,3,1,3,7,0,0.0,1.0,384.0,3.0,2,0,129500,0,43.0
45,1537,100.0,9670,1,19,8,40.0,3,PConc,3.0,2.0,1.0,2.0,608.0,3,4,1873,0.0,1,1,4,1,3,7,2,4.0,3.0,786.0,2.0,2,0,257076,207,73.0
46,905,60.0,10998,0,5,5,0.0,3,CBlock,3.0,3.0,1.0,2.0,984.0,5,4,1604,0.0,2,0,3,1,3,5,0,0.0,1.0,660.0,3.0,2,0,117000,68,68.0
47,1532,60.0,7200,0,19,7,0.0,3,BrkTil,4.0,3.0,1.0,1.0,776.0,3,4,1502,0.0,1,1,3,1,3,7,1,4.0,2.0,270.0,3.0,1,0,149000,112,77.0
48,132,80.0,9920,0,11,5,110.0,3,CBlock,3.0,3.0,1.0,3.0,1056.0,3,4,1063,1.0,1,0,3,1,3,7,0,0.0,2.0,280.0,3.0,2,0,128000,164,56.0
49,1078,36.0,2448,0,26,7,106.0,4,PConc,4.0,3.0,1.0,1.0,764.0,5,4,1626,0.0,2,1,2,1,4,7,0,0.0,2.0,474.0,3.0,2,0,155000,27,5.0
50,2511,48.776910067637225,2998,0,21,6,309.0,4,PConc,4.0,3.0,1.0,6.0,756.0,5,4,1524,0.0,2,1,2,1,4,7,0,0.0,1.0,440.0,3.0,2,0,166000,32,6.0
51,912,65.0,7804,0,6,4,0.0,3,BrkTil,3.0,3.0,1.0,4.0,1122.0,3,4,1981,1.0,2,0,4,1,4,5,2,3.0,1.0,576.0,3.0,2,413,135000,44,81.0
52,2351,80.0,16692,1,16,7,184.0,3,CBlock,4.0,3.0,1.0,4.0,1392.0,3,4,2784,1.0,3,1,5,1,4,7,2,3.0,2.0,564.0,3.0,2,0,250000,362,28.0
53,330,24.0,2304,0,0,4,0.0,3,CBlock,3.0,3.0,1.0,6.0,546.0,5,4,1092,0.0,1,1,3,1,3,7,0,0.0,0.0,0.0,0.0,2,200,76000,26,40.0
54,2586,75.0,10170,0,11,6,309.0,3,CBlock,3.0,3.0,1.0,1.0,216.0,3,4,1575,0.0,1,1,2,1,4,7,1,4.0,1.0,400.0,3.0,2,0,155000,0,55.0
55,224,80.0,9364,0,8,6,143.0,3,CBlock,3.0,3.0,1.0,5.0,663.0,3,4,1352,0.0,1,1,4,1,3,7,0,0.0,3.0,299.0,3.0,2,379,158000,36,41.0
56,98,24.0,2544,0,21,7,0.0,4,PConc,4.0,3.0,1.0,6.0,600.0,5,4,1200,1.0,2,1,2,1,4,7,0,0.0,2.0,480.0,3.0,2,0,149500,172,6.0
57,2565,82.0,9888,0,11,5,0.0,3,CBlock,3.0,3.0,1.0,4.0,936.0,3,3,936,0.0,1,0,2,1,3,7,0,0.0,1.0,240.0,3.0,2,0,121000,160,52.0
58,1934,68.0,7942,0,11,6,0.0,3,CBlock,3.0,3.0,1.0,3.0,1040.0,3,2,1040,0.0,1,0,3,1,3,7,0,0.0,3.0,293.0,3.0,2,0,136000,0,54.0
59,997,84.89259404053277,15038,2,15,6,0.0,3,PConc,4.0,3.0,1.0,3.0,916.0,4,4,1636,0.0,2,1,3,1,3,7,1,3.0,3.0,386.0,3.0,2,168,173000,84,12.0
60,64,92.0,11764,1,25,8,309.0,4,PConc,4.0,3.0,1.0,6.0,1152.0,5,4,2270,0.0,2,1,4,1,4,7,1,4.0,3.0,671.0,3.0,2,132,290000,57,11.0
61,1799,75.0,9000,0,21,8,0.0,4,PConc,4.0,3.0,3.0,6.0,1184.0,5,4,2610,0.0,2,1,4,1,5,7,1,4.0,3.0,550.0,3.0,2,208,303477,362,0.0
62,230,100.57642488844812,19950,1,20,7,0.0,4,CBlock,4.0,3.0,4.0,5.0,1420.0,4,4,1483,1.0,1,1,1,1,3,7,2,3.0,2.0,690.0,3.0,2,413,270000,0,33.0
63,1295,81.0,7308,0,3,5,0.0,2,BrkTil,3.0,3.0,1.0,3.0,936.0,4,3,1740,0.0,1,0,2,1,5,7,1,4.0,1.0,225.0,2.0,0,0,122250,236,88.0
64,638,70.0,8750,0,11,5,0.0,3,CBlock,3.0,3.0,1.0,3.0,1382.0,4,3,1382,0.0,1,0,3,1,4,7,0,0.0,1.0,350.0,3.0,2,280,153000,0,54.0
65,2278,70.0,8402,0,12,5,0.0,3,PConc,4.0,3.0,1.0,5.0,1120.0,5,4,1120,0.0,1,0,3,1,3,7,0,0.0,0.0,0.0,0.0,2,0,147000,30,0.0
66,2202,63.0,4000,0,19,7,0.0,3,BrkTil,4.0,3.0,1.0,6.0,531.0,3,4,1098,1.0,1,0,2,1,3,7,1,4.0,1.0,216.0,3.0,2,0,148500,0,77.0
67,2833,32.0,3363,0,5,7,117.0,4,PConc,4.0,3.0,1.0,1.0,976.0,5,4,1708,0.0,2,0,3,1,4,3,0,0.0,1.0,380.0,3.0,2,0,130000,40,2.0
68,1707,94.0,13615,1,26,9,309.0,5,PConc,5.0,3.0,4.0,1.0,1802.0,5,4,1802,0.0,2,1,3,1,5,7,1,4.0,3.0,843.0,3.0,2,158,372000,105,1.0
69,2428,43.0,3013,0,17,7,145.0,4,PConc,4.0,3.0,4.0,6.0,1362.0,5,4,1506,0.0,2,0,2,1,4,7,1,4.0,3.0,440.0,3.0,2,142,213490,20,1.0
70,242,44.0,17485,2,5,7,96.0,4,PConc,4.0,3.0,4.0,6.0,1508.0,5,4,1508,1.0,1,0,1,1,4,7,2,3.0,2.0,572.0,3.0,2,0,308030,0,1.0
71,1564,97.15909615676097,19950,2,12,7,309.0,4,PConc,5.0,3.0,2.0,6.0,1840.0,5,4,2032,1.0,3,0,3,1,4,7,0,0.0,3.0,786.0,3.0,2,0,300000,238,12.0
72,2613,79.0,8910,0,11,6,0.0,3,CBlock,3.0,3.0,2.0,5.0,655.0,5,4,1194,0.0,1,0,3,1,3,7,1,2.0,3.0,539.0,3.0,2,0,159500,192,47.0
73,2832,24.0,2522,0,5,7,50.0,4,PConc,4.0,3.0,1.0,1.0,970.0,5,4,1709,0.0,2,0,3,1,4,3,0,0.0,1.0,380.0,3.0,2,0,137500,40,2.0
74,2459,73.0,8688,0,21,7,228.0,4,PConc,4.0,3.0,3.0,1.0,1616.0,5,4,1616,0.0,2,0,3,1,4,7,0,0.0,2.0,834.0,3.0,2,208,232000,59,1.0
75,1360,61.359545259111606,6291,1,1,6,0.0,4,BrkTil,3.0,3.0,1.0,1.0,768.0,3,4,768,0.0,1,0,1,1,3,7,0,0.0,1.0,440.0,3.0,0,0,93850,84,78.0
76,2723,90.15810808476661,17529,0,8,5,65.0,3,BrkTil,3.0,3.0,1.0,1.0,872.0,2,2,872,0.0,1,0,2,1,2,4,1,4.0,1.0,322.0,2.0,0,0,105000,116,82.0
77,1350,60.0,6324,1,4,4,0.0,3,BrkTil,3.0,3.0,1.0,1.0,520.0,2,4,520,0.0,1,0,1,1,2,7,0,0.0,1.0,240.0,2.0,2,49,68500,87,81.0
78,136,80.0,11600,0,11,5,309.0,3,CBlock,3.0,3.0,1.0,3.0,1105.0,3,3,2274,0.0,2,0,5,2,3,7,0,0.0,1.0,480.0,3.0,2,0,154300,0,50.0
79,2235,50.0,7288,0,1,5,0.0,4,BrkTil,3.0,1.0,1.0,1.0,936.0,5,4,1601,0.0,2,0,3,1,3,7,0,0.0,0.0,0.0,0.0,0,0,129850,176,82.0
80,1993,35.0,4571,0,3,5,0.0,3,BrkTil,3.0,3.0,1.0,4.0,616.0,5,4,1232,0.0,1,0,3,1,3,7,0,0.0,1.0,480.0,2.0,2,280,114000,143,97.0
81,367,63.0,17423,1,27,9,309.0,5,PConc,5.0,3.0,1.0,6.0,2216.0,5,4,2234,1.0,2,0,1,1,5,7,1,4.0,3.0,1166.0,3.0,2,0,501837,60,1.0
82,1309,100.0,12665,1,3,5,0.0,3,BrkTil,3.0,3.0,2.0,1.0,876.0,4,4,1416,0.0,1,1,4,1,3,7,1,4.0,1.0,720.0,3.0,2,413,153900,194,93.0
83,402,60.0,9000,0,11,4,0.0,3,CBlock,3.0,3.0,1.0,5.0,864.0,4,4,864,0.0,1,0,3,1,3,7,0,0.0,1.0,576.0,3.0,2,200,130000,0,38.0
84,1592,32.0,4500,0,12,6,197.0,3,PConc,5.0,3.0,1.0,6.0,1189.0,5,4,1189,1.0,2,0,2,1,3,7,0,0.0,2.0,392.0,3.0,2,0,160500,122,11.0
85,2409,48.0,6373,0,26,9,309.0,5,PConc,5.0,4.0,1.0,6.0,1666.0,5,4,1666,1.0,2,0,2,1,4,7,1,4.0,2.0,575.0,3.0,2,228,310090,75,0.0
86,539,67.0,10083,0,13,7,0.0,4,PConc,4.0,3.0,1.0,6.0,1176.0,5,4,1200,1.0,2,0,2,1,4,7,0,0.0,2.0,555.0,3.0,2,0,184900,41,6.0
87,1940,70.0,13300,0,11,5,0.0,3,CBlock,4.0,3.0,1.0,3.0,928.0,3,4,928,0.0,1,0,2,1,3,7,0,0.0,1.0,252.0,3.0,2,261,132000,156,51.0
88,588,80.0,9600,0,16,5,128.0,3,CBlock,4.0,3.0,2.0,5.0,1288.0,3,4,1336,0.0,2,0,3,1,3,7,1,2.0,2.0,502.0,3.0,2,312,163000,11,40.0
89,96,30.0,3215,0,21,7,120.0,4,PConc,4.0,3.0,3.0,6.0,600.0,5,4,1200,0.0,2,1,2,1,4,7,0,0.0,2.0,480.0,3.0,2,0,155000,172,6.0
90,1187,75.06594578601572,11104,1,16,6,0.0,3,CBlock,3.0,3.0,3.0,6.0,1427.0,4,4,1427,0.0,2,0,4,1,3,7,0,0.0,2.0,516.0,3.0,2,0,183000,216,39.0
91,2154,95.07217110167028,15295,3,18,7,254.0,4,PConc,4.0,3.0,2.0,6.0,860.0,5,4,1992,1.0,2,1,3,1,4,5,2,3.0,2.0,608.0,3.0,2,225,211000,32,11.0
92,550,70.0,9109,0,13,7,0.0,4,PConc,4.0,3.0,1.0,2.0,754.0,5,4,1540,1.0,2,1,3,1,4,7,0,0.0,2.0,495.0,3.0,2,140,184000,32,15.0
93,811,64.0,7018,0,13,5,0.0,3,Slab,0.0,0.0,0.0,0.0,0.0,3,4,1535,0.0,2,0,4,2,3,7,0,0.0,1.0,400.0,3.0,2,0,118858,0,30.0
94,124,96.11855569238841,14112,1,11,5,86.0,3,PConc,3.0,3.0,3.0,6.0,1152.0,3,4,1152,1.0,1,0,3,1,3,7,1,4.0,2.0,484.0,3.0,2,227,180500,0,46.0
95,1836,80.0,3523,1,21,8,30.0,4,PConc,4.0,3.0,1.0,6.0,1141.0,5,4,1151,1.0,2,0,2,1,4,7,0,0.0,3.0,484.0,3.0,2,0,166000,60,1.0
96,779,88.0,15312,0,8,6,54.0,3,CBlock,3.0,3.0,3.0,4.0,1138.0,5,4,1138,0.0,1,0,3,1,3,7,1,3.0,2.0,480.0,3.0,2,0,148000,140,49.0
97,1886,74.0,7450,1,11,5,0.0,3,CBlock,3.0,3.0,1.0,3.0,894.0,4,4,1074,0.0,1,0,2,1,4,6,1,4.0,1.0,396.0,3.0,2,0,124000,72,51.0
98,1724,60.0,7313,0,26,9,246.0,5,PConc,5.0,3.0,1.0,6.0,1561.0,5,4,1561,1.0,2,0,2,1,5,7,1,4.0,3.0,556.0,3.0,2,203,277500,47,2.0
99,2450,83.0,10019,1,25,8,309.0,4,PConc,4.0,3.0,1.0,5.0,1342.0,5,4,2726,0.0,2,1,4,1,4,7,1,5.0,2.0,725.0,3.0,2,307,350000,337,11.0
100,1013,53.0,15401,1,27,9,296.0,5,PConc,5.0,3.0,4.0,6.0,1884.0,5,4,1884,1.0,2,0,2,1,5,7,1,4.0,3.0,670.0,3.0,2,214,387000,76,4.0
101,2084,58.0,9098,1,5,4,0.0,3,BrkTil,3.0,3.0,2.0,5.0,528.0,5,4,605,1.0,1,0,2,1,3,7,0,0.0,0.0,0.0,0.0,0,0,86000,144,87.0
102,1184,103.0,16280,0,23,8,0.0,5,CBlock,4.0,5.0,2.0,6.0,1426.0,5,4,1671,1.0,3,0,3,1,5,7,1,4.0,2.0,550.0,3.0,2,280,290000,90,32.0
103,728,72.0,9392,0,1,3,0.0,3,CBlock,2.0,3.0,1.0,1.0,245.0,3,4,797,0.0,1,0,2,1,3,7,0,0.0,0.0,0.0,0.0,0,0,44000,130,109.0
104,950,71.0,12209,1,12,6,0.0,3,PConc,5.0,3.0,1.0,5.0,804.0,5,4,1961,1.0,2,1,3,1,4,7,1,3.0,3.0,560.0,3.0,2,125,215000,192,8.0
105,2524,79.0,13110,1,16,5,144.0,3,CBlock,4.0,3.0,1.0,6.0,1153.0,5,4,1193,1.0,2,0,2,1,3,7,0,0.0,3.0,501.0,3.0,2,140,146500,153,34.0
106,2513,39.945419076453604,2651,0,21,7,0.0,4,PConc,4.0,3.0,1.0,6.0,673.0,5,4,1382,1.0,2,1,3,1,4,7,0,0.0,1.0,490.0,3.0,2,153,165000,50,6.0
107,2028,60.0,8520,0,3,6,0.0,3,BrkTil,3.0,3.0,1.0,3.0,714.0,3,4,2526,0.0,2,0,5,1,4,7,1,4.0,1.0,216.0,3.0,2,88,136000,15,91.0
108,2309,117.0,19950,1,11,6,309.0,3,CBlock,4.0,3.0,4.0,5.0,1705.0,5,4,1390,1.0,1,1,1,1,5,6,2,4.0,1.0,550.0,3.0,2,0,252000,189,49.0
109,51,36.0,2628,0,26,7,106.0,4,PConc,4.0,3.0,1.0,1.0,764.0,5,4,1626,0.0,2,1,2,1,4,7,0,0.0,2.0,474.0,3.0,2,0,175500,27,7.0
110,699,57.0,6406,0,3,5,0.0,3,BrkTil,3.0,3.0,1.0,5.0,690.0,3,3,1558,0.0,1,1,3,1,3,7,1,4.0,1.0,400.0,3.0,2,0,150000,218,70.0
111,1881,78.59150652823624,12342,1,11,5,0.0,3,CBlock,3.0,3.0,1.0,1.0,978.0,3,4,1422,0.0,1,0,3,1,3,6,1,3.0,2.0,286.0,3.0,2,0,139900,36,47.0
112,1345,52.0,6240,0,4,5,0.0,3,PConc,3.0,3.0,1.0,1.0,1078.0,3,4,1573,0.0,2,0,3,1,3,7,1,4.0,1.0,360.0,3.0,1,0,162900,0,78.0
113,166,87.0,10000,1,11,6,261.0,3,CBlock,3.0,3.0,1.0,1.0,1116.0,3,4,1116,0.0,1,1,3,1,3,7,0,0.0,1.0,440.0,3.0,2,0,160000,362,48.0
114,781,78.35579530697291,9000,0,8,2,0.0,3,Slab,0.0,0.0,0.0,0.0,0.0,2,4,660,0.0,1,0,2,1,2,5,0,0.0,0.0,0.0,0.0,0,0,63900,100,62.0
115,379,80.0,11088,0,16,6,144.0,3,PConc,3.0,3.0,1.0,5.0,1140.0,4,4,1707,0.0,2,0,3,1,3,7,1,3.0,3.0,479.0,3.0,2,0,184000,0,31.0
116,2818,117.0,17755,0,5,5,132.0,3,CBlock,3.0,3.0,1.0,4.0,1466.0,3,4,1466,0.0,1,1,3,1,2,7,2,4.0,3.0,528.0,3.0,2,0,149900,240,47.0
117,1168,57.0138217594117,4765,1,21,9,260.0,4,PConc,4.0,3.0,3.0,6.0,1614.0,5,4,1638,1.0,2,0,2,1,5,7,1,3.0,3.0,495.0,3.0,2,230,300000,68,8.0
118,1396,82.71860553078699,10532,0,20,5,275.0,3,CBlock,3.0,3.0,2.0,3.0,988.0,4,4,1721,1.0,2,0,3,1,3,4,2,3.0,1.0,626.0,3.0,2,50,145000,84,48.0
119,838,65.0,15426,1,18,6,0.0,3,PConc,4.0,3.0,1.0,6.0,928.0,5,4,1764,1.0,2,1,3,1,4,7,0,0.0,2.0,470.0,3.0,2,276,231500,99,12.0
120,1492,63.0,13907,0,5,5,0.0,3,CBlock,3.0,3.0,1.0,4.0,996.0,5,4,996,1.0,1,0,3,1,3,7,1,4.0,0.0,0.0,0.0,2,144,108000,0,68.0
121,637,70.0,8750,0,11,5,0.0,3,CBlock,3.0,3.0,1.0,3.0,1202.0,3,4,1202,0.0,1,0,3,1,3,7,0,0.0,2.0,304.0,3.0,2,0,120000,155,53.0
122,1826,71.76536024463158,9945,1,8,5,57.0,3,CBlock,3.0,3.0,1.0,3.0,988.0,3,4,988,1.0,1,0,3,1,3,7,0,0.0,1.0,572.0,3.0,2,0,128500,0,46.0
123,173,56.0,8960,0,3,5,0.0,3,CBlock,3.0,3.0,1.0,1.0,1008.0,4,3,1028,0.0,1,0,2,1,3,7,1,4.0,1.0,360.0,3.0,2,0,115000,130,83.0
124,715,50.0,3500,0,3,5,0.0,3,CBlock,3.0,3.0,1.0,2.0,720.0,3,4,1284,0.0,1,1,2,1,3,7,0,0.0,1.0,240.0,3.0,2,0,110000,35,62.0
125,1183,85.91198707993186,19950,1,23,9,309.0,4,CBlock,4.0,3.0,1.0,6.0,994.0,3,4,2944,0.0,2,2,3,1,4,7,1,4.0,2.0,864.0,3.0,2,140,150000,86,31.0
126,2433,74.0,9056,1,15,8,0.0,4,PConc,5.0,4.0,3.0,1.0,707.0,5,4,1414,0.0,2,1,3,1,4,7,1,4.0,3.0,403.0,3.0,2,100,178000,35,2.0
127,2866,70.0,12320,1,19,7,0.0,3,BrkTil,3.0,3.0,1.0,1.0,637.0,5,4,1609,0.0,1,1,3,1,4,7,2,4.0,1.0,579.0,3.0,2,0,199500,104,74.0
128,2311,60.0,8238,1,15,6,0.0,3,PConc,3.0,3.0,1.0,6.0,813.0,5,4,1525,1.0,2,1,3,1,3,7,1,3.0,3.0,400.0,3.0,2,413,183500,72,9.0
129,1551,75.0,6000,0,1,5,0.0,2,CBlock,4.0,3.0,2.0,3.0,624.0,5,4,1656,0.0,1,1,3,1,3,4,1,1.0,1.0,288.0,3.0,2,0,126000,280,41.0
130,1049,24.0,2529,0,9,7,0.0,3,CBlock,4.0,3.0,1.0,5.0,1055.0,2,4,1055,0.0,2,0,2,1,3,7,0,0.0,1.0,440.0,3.0,2,0,148500,38,31.0
